artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
3wOsYKZM0zcKNasi3I7fP4,3MY5j23bUAPJKChg5V47m9,5bY4g7cLyasuuhthJ7Mdlh,spotify:track:5bY4g7cLyasuuhthJ7Mdlh,Sampai Menutup Mata,2024-09-06,2024-10-31T12:37:43Z,248666,77,31,False,Indonesia,2024-11-01,34911706
6UgERnTHmjk3qXM9x5vzyO,19zDJ0Nd8Xfv7ctcQrlT5k,6i9Ci0IN1q1GcnhdbKU7kZ,spotify:track:6i9Ci0IN1q1GcnhdbKU7kZ,penjaga hati,2024-06-21,2024-10-31T12:37:43Z,260346,72,32,False,Indonesia,2024-11-01,319369192
3tMTXQyRrPmMyHv5SoC0TV,5Y5dkZeSlePrTopuETspAh,6Npkwd5gv61SR6QZbTyNf9,spotify:track:6Npkwd5gv61SR6QZbTyNf9,Lampu Kuning,2024-06-28,2024-10-31T12:37:43Z,239416,77,33,False,Indonesia,2024-11-01,60556249
1ZT1OfVAO3kpOEHVejBxV8,7lhbsQ75nktdtQNlwa06Gy,5l3jhWIfRg1FeKgw7R1jWb,spotify:track:5l3jhWIfRg1FeKgw7R1jWb,Keras Kepala,2024-07-12,2024-10-31T12:37:43Z,296800,75,34,False,Indonesia,2024-11-01,40954619
"0f6TyESD8E1mD2oLJ4TGv1, 0kw7tMniMnrp9Pcr7vgDAm",6E4sl58YgjMqfUBNGOfAUa,6AyBbSvcR2ZwTeR30I4jb9,spotify:track:6AyBbSvcR2ZwTeR30I4jb9,Jakarta Hari Ini,2022-09-06,2024-10-31T12:37:43Z,221000,73,35,False,Indonesia,2024-11-01,139370698
0du5cEVh5yTK9QJze8zA0C,73pAZrAw8W3Ey9hBJYOVLt,4rMNgxEwGWoPHIUcvB5BrB,spotify:track:4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,2011-09-27,2024-10-31T12:37:43Z,257847,65,36,False,Indonesia,2024-11-01,1000578599
"4bAgr9zaF0bpzVGHdHuf0f, 611ajYp7fMbkU5CYF08tje",6osB48b3PzrABxdspbyYkd,1mruWrUwAVe2XkksUQiaHK,spotify:track:1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),2019-06-17,2024-10-31T12:37:43Z,313670,76,37,False,Indonesia,2024-11-01,358543173
5vTG3EyFrsARtIGDWZNRzu,2B5g8Dua4wmu7JOnNX9e8K,3aClK9EBpl7QeYEuOq1eMI,spotify:track:3aClK9EBpl7QeYEuOq1eMI,L,2018-08-23,2024-10-31T12:37:43Z,220851,76,38,False,Indonesia,2024-11-01,253535514
4sEWznAKWWNcicTuLxzb6d,2nFXZYwcFX49uehczLGoFM,6zrnrcry6OHVFo3EDt6PYa,spotify:track:6zrnrcry6OHVFo3EDt6PYa,Rahasia Hati,2014-03-03,2024-10-31T12:37:43Z,250682,72,39,False,Indonesia,2024-11-01,61088421
3wOsYKZM0zcKNasi3I7fP4,22rc3bBMyJemUaLBe7chVV,6XKEElbr3cWmnUw6a5HRBV,spotify:track:6XKEElbr3cWmnUw6a5HRBV,Mati-Matian,2024-03-29,2024-10-31T12:37:43Z,244137,77,40,False,Indonesia,2024-11-01,138391725
