artist_id,artist_uri,artist_name,artist_genres,artist_popularity,artist_follower,artist_image_url
1qveov8f3HXFhDIWtFO5tG,spotify:artist:1qveov8f3HXFhDIWtFO5tG,guncharlie,['t-pop'],55,32595,https://i.scdn.co/image/ab6761610000e5eb93e76e9dd8f0d1050c49288d
1ssEwBiz4ZKrbgR6o8vOeg,spotify:artist:1ssEwBiz4ZKrbgR6o8vOeg,Polycat,"['greek house', 't-pop', 'thai indie pop', 'thai indie rock']",59,926189,https://i.scdn.co/image/ab6761610000e5eb823b991076d37018718c3ad2
1uNFoZAHBGtllmzznpCI3s,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop']",91,78661768,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
1v1khTmozNfxB2ET1Ep288,spotify:artist:1v1khTmozNfxB2ET1Ep288,Last Child,"['indonesian pop punk', 'indonesian rock']",75,9485869,https://i.scdn.co/image/ab6761610000e5eb3e2192453d16aa93116434b8
1xrRqVDsJaZPw0sXme5i2T,spotify:artist:1xrRqVDsJaZPw0sXme5i2T,PP Krit,['t-pop'],59,351370,https://i.scdn.co/image/ab6761610000e5ebef1b22d1cac337f7981fdf83
1zNqDE7qDGCsyzJwohVaoX,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,['pop'],79,12109520,https://i.scdn.co/image/ab6761610000e5eb679c995b0d4a641ba32aa5f0
1zSv9qZANOWB4HRE8sxeTL,spotify:artist:1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",64,1090193,https://i.scdn.co/image/ab6761610000e5ebb97791c136d7354ad7792555
20wkVLutqVOYrc0kxFs7rA,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,['canadian contemporary r&b'],86,7064180,https://i.scdn.co/image/ab6761610000e5ebe5bc630548fb3517cf90edb8
20zafXaLhm5IcXnSU93rNn,spotify:artist:20zafXaLhm5IcXnSU93rNn,Nadin Amizah,['indonesian pop'],74,6488230,https://i.scdn.co/image/ab6761610000e5eb1d143802cf034044739dbcdc
22wbnEMDvgVIAGdFeek6ET,spotify:artist:22wbnEMDvgVIAGdFeek6ET,Benson Boone,['singer-songwriter pop'],86,3842277,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25
24fEOzlKhgSNLIcy9NdmwH,spotify:artist:24fEOzlKhgSNLIcy9NdmwH,James Reid,"['deep neofolk', 'opm', 'pinoy r&b']",62,395770,https://i.scdn.co/image/ab6761610000e5eb8b73f48710e2d48219d110df
250b0Wlc5Vk0CoUsaCY84M,spotify:artist:250b0Wlc5Vk0CoUsaCY84M,JENNIE,['k-pop'],83,7666973,https://i.scdn.co/image/ab6761610000e5ebcab652097be01bf194cdf11d
25vaRIUlu5PahDqAWeYdxR,spotify:artist:25vaRIUlu5PahDqAWeYdxR,The Parkinson,"['t-pop', 'thai pop']",53,192648,https://i.scdn.co/image/ab6761610000e5ebcf61ca217eb695daae9b8fbd
27RoKwun6jKycKbH2iYUFU,spotify:artist:27RoKwun6jKycKbH2iYUFU,Minh Tốc & Lam,['indie viet'],53,17731,https://i.scdn.co/image/ab6761610000e5eb29183371047297faf6b73f8a
2DaMrZndfGgM3yd9ivadRC,spotify:artist:2DaMrZndfGgM3yd9ivadRC,Lipta,"['t-pop', 'thai pop']",58,524602,https://i.scdn.co/image/ab6761610000e5ebe2921fe54d34bddad803df6d
2F8QVTDDHb8n0cwR9ftxFs,spotify:artist:2F8QVTDDHb8n0cwR9ftxFs,Q Flure,[],52,494,
2FXC3k01G6Gw61bmprjgqS,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8002611,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
2HPaUgqeutzr3jx5a9WyDV,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"['r&b', 'rap', 'urban contemporary']",84,7432469,https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844
2LIk90788K0zvyj2JJVwkJ,spotify:artist:2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",80,3952489,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb
2NRcG7E1j2sSi8vnUzCcpi,spotify:artist:2NRcG7E1j2sSi8vnUzCcpi,Quân A.P,['v-pop'],59,614323,https://i.scdn.co/image/ab6761610000e5eb2072677a48d16d8b22f9a0b6
2SWWw5uB9cO5m7zJQZqwmr,spotify:artist:2SWWw5uB9cO5m7zJQZqwmr,BOWKYLION,"['t-pop', 'thai indie pop']",58,1256703,https://i.scdn.co/image/ab6761610000e5ebdcea2a36fee1a492f6cc7f3b
2UHHfc0InrWSmUkiuss6f4,spotify:artist:2UHHfc0InrWSmUkiuss6f4,RPT JasonDilla,[],41,3402,https://i.scdn.co/image/ab6761610000e5ebf4a4f3c1c9dbeb98338e2a50
2WzWSpOB41g3gb78Raj6RK,spotify:artist:2WzWSpOB41g3gb78Raj6RK,gins&melodies,"['pinoy hip hop', 'tagalog rap']",64,339545,https://i.scdn.co/image/ab6761610000e5eb6dbbc3b51629ebe0db4e8527
2WzaAvm2bBCf4pEhyuDgCY,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",74,3789852,https://i.scdn.co/image/ab6761610000e5eb1da7ba1c178ab9f68d065197
2XHTklRsNMOOQT56Zm3WS4,spotify:artist:2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,"['opm', 'pinoy reggae']",69,3672368,https://i.scdn.co/image/ab6761610000e5eb76ece97fbecb26ace087a952
2XiaPu2j4nBMhF8pIlt6Bk,spotify:artist:2XiaPu2j4nBMhF8pIlt6Bk,AYLA's,['t-pop'],54,214002,https://i.scdn.co/image/ab6761610000e5eb06945dc201bbfd24c74bce7c
2ZhUfT19cZKRi7sayQcEZH,spotify:artist:2ZhUfT19cZKRi7sayQcEZH,Luqman Faiz,['malaysian pop'],43,16162,https://i.scdn.co/image/ab6761610000e5ebbbd76b9cfcfc21260fde0a80
2ZjO6APYelcHcLd2pWMx8x,spotify:artist:2ZjO6APYelcHcLd2pWMx8x,Badbies,[],47,231,
2a727ekkPaUHk0bMifk7fj,spotify:artist:2a727ekkPaUHk0bMifk7fj,Billkin,['t-pop'],61,895966,https://i.scdn.co/image/ab6761610000e5ebaa69cfd6ff574ddea5e8fe52
2aQnC3DbZB9GbauvhAw7ve,spotify:artist:2aQnC3DbZB9GbauvhAw7ve,AMEE,"['v-pop', 'vietnamese idol pop']",63,1399181,https://i.scdn.co/image/ab6761610000e5ebfd70279a04a9b3796e7dcd4d
2auC28zjQyVTsiZKNgPRGs,spotify:artist:2auC28zjQyVTsiZKNgPRGs,RM,['k-rap'],77,17159856,https://i.scdn.co/image/ab6761610000e5eb847fe9bbfef3acf7981acd2a
2dC1IBU9NOD9xsQJ5RE7j7,spotify:artist:2dC1IBU9NOD9xsQJ5RE7j7,Puppy,['viet chill rap'],53,12866,https://i.scdn.co/image/ab6761610000e5eb12b2ad3bacec1ca71265fba9
2dyCbip3jAVmQNAs7Sg8Y9,spotify:artist:2dyCbip3jAVmQNAs7Sg8Y9,Vionita,['indonesian pop'],61,155249,https://i.scdn.co/image/ab6761610000e5eb1972467b259c6c2c7b44cdd5
2elBjNSdBE2Y3f0j1mjrql,spotify:artist:2elBjNSdBE2Y3f0j1mjrql,Jay Chou,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",76,6240273,https://i.scdn.co/image/ab6761610000e5eb02b3aa55ba238b2ceafb09da
2iDVt6mFbtbDEZG5ax0dTi,spotify:artist:2iDVt6mFbtbDEZG5ax0dTi,Tulus,"['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']",76,16454912,https://i.scdn.co/image/ab6761610000e5eb53462891ab7799f2934b568e
2nSO7JYDbJrYbJmP39qUzj,spotify:artist:2nSO7JYDbJrYbJmP39qUzj,Binz,"['v-pop', 'vietnamese hip hop']",62,1145257,https://i.scdn.co/image/ab6761610000e5ebcbc6b072aec429273fdbd53b
2rKtPYcwYmevNcaqzJOwvf,spotify:artist:2rKtPYcwYmevNcaqzJOwvf,MANBO,"['v-pop', 'vietnamese hip hop']",56,122733,https://i.scdn.co/image/ab6761610000e5ebf7c3ce38eb5312d02b8b94b1
2uYWxilOVlUdk4oV9DvwqK,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,"['brooklyn indie', 'pov: indie']",84,9204221,https://i.scdn.co/image/ab6761610000e5eb4bdb3888818637acb71c4a13
2xe3fpDD81re4J0NN3S8LV,spotify:artist:2xe3fpDD81re4J0NN3S8LV,GTK,['thai pop rap'],52,94348,https://i.scdn.co/image/ab67616d0000b273980878002fe551cf96c670bf
2xsBUJ327d3iC1LvL5hYrQ,spotify:artist:2xsBUJ327d3iC1LvL5hYrQ,YEW,"['t-pop', 'thai indie rock']",57,427668,https://i.scdn.co/image/ab6761610000e5eb4f3d625f5a25ab7ea6906b28
30b9WulBM8sFuBo17nNq9c,spotify:artist:30b9WulBM8sFuBo17nNq9c,G-DRAGON,"['k-pop', 'k-rap']",66,2908890,https://i.scdn.co/image/ab6761610000e5eb99234fca18ba6bc8e75620ca
30eFAXoU2kTjJPf2cq80B8,spotify:artist:30eFAXoU2kTjJPf2cq80B8,WEAN,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",62,340992,https://i.scdn.co/image/ab6761610000e5eb24b6a2cff3114e58882c5aaf
327ipGIr9bD3MkLb2eucqC,spotify:artist:327ipGIr9bD3MkLb2eucqC,Suara Kayu,['indonesian pop'],63,227013,https://i.scdn.co/image/ab6761610000e5ebd46883d6e4f535b2a917d436
36cgvBn0aadzOijnjjwqMN,spotify:artist:36cgvBn0aadzOijnjjwqMN,ILLIT,['5th gen k-pop'],76,1654288,https://i.scdn.co/image/ab6761610000e5eb32863b8dca4574c09e4b9295
3AQRLZ9PuTAozP28Skbq8V,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,The Script,"['celtic rock', 'pop']",78,8257254,https://i.scdn.co/image/ab6761610000e5eb4a0b21cd87d8a8752fd32e94
3C1ER0cuXc8dLtaI8RvLI6,spotify:artist:3C1ER0cuXc8dLtaI8RvLI6,Eliza Maturan,['pinoy singer-songwriter'],61,40143,https://i.scdn.co/image/ab6761610000e5eb8742d4ce7620f557d9081f05
3DHOtJqv0Bw65ENlK4FiSF,spotify:artist:3DHOtJqv0Bw65ENlK4FiSF,Yovie & Nuno,"['indonesian pop', 'indonesian pop rock']",70,1820949,https://i.scdn.co/image/ab6761610000e5ebd6da9160b31ec1bad6fc56ad
3E0b68wCGYihuHBtlasfm9,spotify:artist:3E0b68wCGYihuHBtlasfm9,Lâm Bảo Ngọc,[],54,18842,https://i.scdn.co/image/ab6761610000e5eb6c3b47777655c69d0f3fb627
3JWIaDWHJq11w1xPqJStEv,spotify:artist:3JWIaDWHJq11w1xPqJStEv,Hustlang Robber,"['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",48,95366,https://i.scdn.co/image/ab6761610000e5eba95938560cec466e19c4734d
3JsHnjpbhX4SnySpvpa9DK,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,V,"['j-division', 'korean ost']",83,18961859,https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2
3Ld1g6LjfR2ILDB6SD8aJV,spotify:artist:3Ld1g6LjfR2ILDB6SD8aJV,BlackHeart,['thai viral pop'],59,96830,https://i.scdn.co/image/ab6761610000e5eb4eb43b6949942b5c4e56ca3f
3MdXrJWsbVzdn6fe5JYkSQ,spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ,Latto,['trap queen'],80,1808701,https://i.scdn.co/image/ab6761610000e5eba11b0b5c37498f5dddb1bd7b
3Q5Qep7ytrjVleNnMnntgQ,spotify:artist:3Q5Qep7ytrjVleNnMnntgQ,TEN,['k-pop'],64,744962,https://i.scdn.co/image/ab6761610000e5eb120c180b98729c6448e06703
3XrI2jzqgzcCwiYFuLKBbQ,spotify:artist:3XrI2jzqgzcCwiYFuLKBbQ,Hannah Delisha,['malaysian pop'],41,18617,https://i.scdn.co/image/ab6761610000e5ebc4c59fcec9c6578484194a0c
3Y7RZ31TRPVadSFVy1o8os,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,H.E.R.,"['r&b', 'rap']",77,7942477,https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514
3Y7gOnKYWfQlEdgXag0Z6W,spotify:artist:3Y7gOnKYWfQlEdgXag0Z6W,Regina Song,[],61,71522,https://i.scdn.co/image/ab6761610000e5ebfc71aaf9720b4fde94afdc92
3ZUdKB3VGo26BxRSmnv5n2,spotify:artist:3ZUdKB3VGo26BxRSmnv5n2,SPF,"['t-pop', 'thai pop']",47,85255,https://i.scdn.co/image/ab67616d0000b2735fed9088f057bcec9ef9f25a
3c0gDdb9lhnHGFtP4prQpn,spotify:artist:3c0gDdb9lhnHGFtP4prQpn,KATSEYE,['5th gen k-pop'],75,637787,https://i.scdn.co/image/ab6761610000e5eb031e8e2a9c4893810a02f863
3d0hhzHPK0jA5mKTeFIZc5,spotify:artist:3d0hhzHPK0jA5mKTeFIZc5,Realest Cram,[],65,627715,https://i.scdn.co/image/ab6761610000e5eb50457bf2672b3cf6b5ec7daf
3diftVOq7aEIebXKkC34oR,spotify:artist:3diftVOq7aEIebXKkC34oR,tlinh,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",68,1185984,https://i.scdn.co/image/ab6761610000e5eb230e62752ca87da1d85d0445
